Id	Country	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Emergency Disclosures	Emergency Disclosures Accounts	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage
ALB	Albania	6	9	83.33%												
ARG	Argentina	278	414	18.35%												
ARM	Armenia	1	1	0%												
AUS	Australia	603	640	65.51%												
AUT	Austria	28	32	14.29%												
163	Bahrain	1	1	0%												
BGD	Bangladesh	0	0	0												
BEL	Belgium	154	196	64.94%												
BTN	Bhutan	1	1	0%												
BIH	Bosnia and Herzegovina	4	5	50.00%												
BWA	Botswana	1	1	0%												
BRA	Brazil	1,165	1,651	33.82%												
BGR	Bulgaria	2	2	50.00%												
KHM	Cambodia	1	1	0%												
CAN	Canada	174	217	50.00%												
CHL	Chile	230	334	64.35%												
COL	Colombia	21	27	19.05%												
CRI	Costa Rica	9	14	11.11%												
HRV	Croatia	7	14	42.86%												
CYP	Cyprus	3	3	100.00%												
CZE	Czech Republic	14	19	78.57%												
DNK	Denmark	12	11	33.33%												
ECU	Ecuador	2	1	0%												
EGY	Egypt	6	6	0%												
EST	Estonia	6	7	33.33%												
FIN	Finland	11	12	63.64%												
FRA	France	1,661	1,845	33.90%												
GEO	Georgia	3	3	33.33%												
DEU	Germany	1,687	1,950	37.88%												
GRC	Greece	115	148	50.43%												
GRL	Greenland	2	2	0%												
HKG	Hong Kong	25	326	88.00%												
HUN	Hungary	38	51	28.95%												
IND	India	3,598	4,711	53.56%												
IRL	Ireland	35	36	62.86%												
ISR	Israel	129	140	51.16%												
ITA	Italy	1,699	2,613	52.50%												
CIV	Ivory Coast	1	1	100.00%												
KAZ	Kazakhstan	2	2	0%												
OSA	Kosovo	1	2	100.00%												
KWT	Kuwait	4	3	0%												
LBN	Lebanon	12	12	0%												
LTU	Lithuania	9	10	44.44%												
LUX	Luxembourg	2	5	0%												
168	Macau	1	1	0%												
MKD	Macedonia	6	14	83.33%												
MYS	Malaysia	16	24	18.75%												
173	Malta	81	127	61.73%												
MEX	Mexico	125	212	53.60%												
NPL	Nepal	2	3	0%												
NLD	Netherlands	23	28	36.36%												
NZL	New Zealand	80	104	70.00%												
NOR	Norway	15	14	13.33%												
OMN	Oman	3	3	0%												
PAK	Pakistan	126	163	47.62%												
PAL	Palestine	4	4	0%												
PER	Peru	2	5	0%												
PHL	Philippines	4	7	50.00%												
POL	Poland	220	192	15.45%												
PRT	Portugal	148	175	25.00%												
QAT	Qatar	3	5	0%												
ROU	Romania	11	20	45.45%												
RUS	Russia	1	1	0%												
SRB	Serbia	1	2	100.00%												
SGP	Singapore	141	142	70.92%												
SVN	Slovenia	3	3	66.67%												
ZAF	South Africa	3	4	0%												
KOR	South Korea	1	1	0%												
ESP	Spain	404	811	39.60%												
LKA	Sri Lanka	1	3	0%												
SDN	Sudan	4	4	0%												
SWE	Sweden	89	109	52.81%												
CHE	Switzerland	34	43	17.65%												
TWN	Taiwan	193	266	71.50%												
THA	Thailand	2	2	0%												
TUR	Turkey	129	353	56.59%												
UGA	Uganda	1	1	0%												
ARE	United Arab Emirates	2	2	0%												
GBR	United Kingdom	1,906	2,277	71.30%												
USA	United States	12,598	18,715	81.02%	486	556	39.51%	5,814	9,122	84.81%	5,379	7,943	80.20%	919	1,094	83.79%
URY	Uruguay	1	1	0%												
